DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities,Target
Budaun,BISAULI,SC,KUSHAGRA SAGAR,M,SC,25,BJP,100287,1,0,12th Pass,1538795,0,1
Rampur,SUAR,GEN,MOHAMMAD ABDULLAH AZAM KHAN,M,GEN,26,SP,106443,1,0,Post Graduate,4739051,0,1
Aligarh,ATRAULI,GEN,SANDEEP KUMAR SINGH,M,GEN,26,BJP,115397,1,0,Post Graduate,14293695,0,1
Bijnor,Bijnor,GEN,SUCHI,F,GEN,27,BJP,105548,1,0,Post Graduate,10039039,0,1
Bijnor,BARHAPUR,GEN,SUSHANT KUMAR,M,GEN,28,BJP,78744,1,0,Graduate,50446361,7275662,1
Rae Bareli,RAE BARELI,GEN,ADITI SINGH,F,GEN,29,INC,128319,1,0,Post Graduate,1398456,4490234,1
Shamli,KAIRANA,GEN,NAHID HASAN,M,GEN,29,SP,98830,1,3,Graduate,30082127,0,1
Jaunpur,MUNGRA BADSHAHPUR,GEN,SUSHMA,F,GEN,30,BSP,69557,1,0,Doctorate,15353000,2560000,1
Ambedkar Nagar,ALAPUR,SC,ANEETA,F,SC,31,BJP,72366,1,0,Post Graduate,1037549,26000,1
Banda,TINDWARI,GEN,BRAJESH KUMAR PRAJAPATI,M,GEN,31,BJP,82197,1,0,Graduate,7702700,0,1
Azamgarh,PHOOLPUR PAWAI,GEN,ARUN,M,GEN,32,BJP,68435,1,3,Graduate,7893362,0,1
Faizabad,MILKIPUR,SC,GORAKH NATH,M,SC,32,BJP,86960,1,3,Graduate,5994375,370590,1
Gonda,GONDA,GEN,PRATEEK BHUSHAN SINGH,M,GEN,32,BJP,58254,1,1,Graduate,48908815,0,1
Kheri,KASTA,SC,SAURABH SINGH,M,SC,32,BJP,92824,1,0,Post Graduate,9879912,1079063,1
Mirzapur,CHHANBEY,SC,RAHUL PRAKASH,M,SC,33,OTHERS,107007,1,0,Graduate,5092173,0,1
Balrampur,UTRAULA,GEN,RAM PRATAP,M,GEN,33,BJP,85240,1,0,Post Graduate,20791798,3850000,1
Ambedkar Nagar,JALALPUR,GEN,RITESH PANDEY,M,GEN,33,BSP,90309,1,0,Graduate,210813416,5500000,1
Kanpur Nagar,BITHOOR,GEN,ABHIJEET SINGH SANGA,M,SC,34,BJP,113289,1,10,Graduate,44274840,390000,1
Ballia,BELTHARA ROAD,SC,DHANANJAY KANNOUJIA,M,SC,34,BJP,77504,1,0,Graduate,377000,0,1
Kheri,SRI NAGAR,SC,MANJU TYAGI,F,SC,34,BJP,112941,1,0,Post Graduate,20090356,0,1
Hardoi,HARDOI,GEN,NITIN AGARWAL,M,GEN,34,SP,97735,1,0,Post Graduate,190451000,16460000,1
Rampur,MILAK,SC,RAJ BALA,F,SC,34,BJP,89861,1,0,Post Graduate,117136030,15469786,1
Maharajganj,NAUTANWA,GEN,AMAN MANI TRIPATHI,M,GEN,35,OTHERS,79666,1,2,Graduate,15354264,1052667,1
Unnao,PURWA,GEN,ANIL KUMAR SINGH,M,GEN,35,BSP,97567,1,0,12th Pass,8.00E+05,0,1
Deoria,BHATPAR RANI,GEN,ASHUTOSH,M,GEN,35,SP,61862,1,0,Doctorate,24167161,0,1
Azamgarh,SAGRI,GEN,BANDANA SINGH,F,GEN,35,BSP,62203,1,0,Post Graduate,14403735,0,1
Mahoba,CHARKHARI,GEN,BRIJBHUSHAN RAJPOOT ALIAS GUDDU BHAIYA,M,GEN,35,BJP,98360,1,6,Graduate,166413023,2510569,1
Hamirpur,RATH,SC,MANISHA ANURAGI,F,SC,35,BJP,147526,1,0,Post Graduate,633593,0,1
Sambhal,ASMOLI,GEN,PINKI YADAV,F,GEN,35,SP,97610,1,0,Graduate,25475000,2.00E+05,1
Gorakhpur,CHAURI-CHAURA,GEN,SANGEETA YADAV,F,GEN,35,BJP,87863,1,0,Graduate,14058554,13075000,1
Sultanpur,JAGDISHPUR,SC,SURESH KUMAR,M,SC,35,BJP,84219,1,0,12th Pass,9761462,1180000,1
Ghazipur,JANGIPUR,GEN,VIRENDRA KUMAR YADAV,M,GEN,35,SP,71441,1,0,Doctorate,71869905,6264343,1
Aligarh,KHAIR,SC,ANOOP,M,SC,36,BJP,124198,1,0,Literate,1020000,1.00E+05,1
Hardoi,BILGRAM MALLANWAN,GEN,ASHISH KUMAR SINGH ASHU,M,GEN,36,BJP,83405,1,0,Graduate,15105395,12510000,1
Allahabad,ALLAHABAD NORTH,GEN,HARSHVARDHAN BAJPAI,M,GEN,36,BJP,89191,1,1,Graduate,74228789,0,1
Agra,AGRA RURAL,SC,HEMLATA DIWAKAR,F,SC,36,BJP,129887,1,0,Graduate,24718058,170000,1
Amroha,DHANAURA,SC,RAJEEV KUMAR,M,SC,36,BJP,102943,1,0,Post Graduate,10834395,2412573,1
Meerut,MEERUT SOUTH,GEN,SOMENDRA TOMAR,M,GEN,36,BJP,113225,1,0,Doctorate,35922711,6339951,1
Shahjahanpur,KATRA,GEN,VEER VIKRAM SINGH PRINCE,M,GEN,36,BJP,76509,1,0,Post Graduate,7637140,21834,1
Gorakhpur,BANSGAON,SC,VIMLESH PASWAN,M,SC,36,BJP,71966,1,0,Graduate,21840000,3250000,1
Pratapgarh,RANIGANJ,GEN,ABHAY KUMAR URF DHIRAJ OJHA,M,GEN,37,BJP,67031,1,4,Graduate,14605971,1425948,1
Kanpur Nagar,SISHAMAU,GEN,HAZI IRFAN SOLANKI,M,GEN,37,SP,73030,1,3,Illiterate,31235274,0,1
Gorakhpur,PIPRAICH,GEN,MAHENDRA PAL SINGH,M,GEN,37,BJP,82739,1,0,Graduate,142451747,5057737,1
Meerut,SARDHANA,GEN,SANGEET SINGH SOM,M,GEN,37,BJP,97921,1,5,12th Pass,310656322,23735534,1
Ballia,SIKANDERPUR,GEN,SANJAY YADAV,M,GEN,37,BJP,69536,1,1,Graduate,17514373,0,1
Kushinagar,TAMKUHI RAJ,GEN,AJAY KUMAR LALLU,M,GEN,38,INC,61211,1,16,Post Graduate,329072,557722,1
Siddharthnagar,ITWA,GEN,DR. SATISH CHANDRA DWIVEDI,M,GEN,38,BJP,59524,1,0,Doctorate,11221919,5.00E+05,1
Moradabad,BILARI,GEN,MOHD. FAEEM,M,GEN,38,SP,85682,1,0,Graduate,28208643,0,1
Gautam Buddha Nagar,NOIDA,GEN,PANKAJ SINGH,M,GEN,38,BJP,162417,1,0,Graduate,30393622,1500000,1
Allahabad,PHULPUR,GEN,PRAVEEN KUMAR SINGH,M,GEN,38,BJP,93912,1,0,Post Graduate,82689156,184299,1
Etah,JALESAR,SC,SANJEEV KUMAR DIWAKAR,M,SC,38,BJP,81502,1,0,Graduate,7364000,0,1
Chandauli,SAIYADRAJA,GEN,SUSHIL SINGH,M,GEN,38,BJP,78869,1,5,12th Pass,136377517,17217882,1
Lucknow,SAROJINI NAGAR,GEN,SWATI SINGH,F,GEN,38,BJP,108506,1,0,Post Graduate,28859492,0,1
Pratapgarh,BABAGANJ,SC,VINOD KUMAR,M,SC,38,OTHERS,87778,1,2,Post Graduate,23361077,0,1
Allahabad,HANDIA,GEN,HAKIM LAL BIND,M,GEN,39,BSP,72446,1,0,Graduate,7044372,2839029,1
Azamgarh,GOPALPUR,GEN,NAFEES AHMAD,M,GEN,39,SP,70980,1,0,Post Graduate,6091255,0,1
Banda,BANDA,GEN,PRAKASH DWIVEDI,M,GEN,39,BJP,83169,1,0,Graduate,147929430,40429688,1
Jaunpur,BADLAPUR,GEN,RAMESH CHANDRA MISHRA,M,GEN,39,BJP,60237,1,0,Literate,4601808,0,1
Ghazipur,GHAZIPUR,GEN,SANGEETA,F,GEN,39,BJP,92090,1,0,Literate,3446505,2050000,1
Sitapur,LAHARPUR,GEN,SUNEEL VERMA,M,GEN,39,BJP,79467,1,0,Post Graduate,15134278,6.00E+05,1
Baharaich,MATERA,GEN,YASAR SHAH,M,GEN,39,SP,79188,1,0,Post Graduate,71669614,23876343,1
Ballia,BALLIA NAGAR,GEN,ANAND,M,GEN,40,BJP,92889,1,2,Post Graduate,1081596,0,1
Meerut,HASTINAPUR,SC,DINESH KHATIK,M,SC,40,BJP,99436,1,0,Literate,17910787,8295479,1
Jaunpur,MARIYAHU,GEN,LEENA,F,GEN,40,OTHERS,58804,1,0,Illiterate,9328461,0,1
Bijnor,NOORPUR,GEN,LOKENDRA SINGH,M,GEN,40,BJP,79172,1,7,Post Graduate,11249154,1520516,1
Jhansi,BABINA,GEN,RAJEEV SINGH &QUOT;PARICHHA&QUOT;,M,GEN,40,BJP,96713,1,0,Literate,65312895,2590863,1
Sultanpur,KADIPUR,SC,RAJESH GAUTAM,M,SC,40,BJP,87353,1,0,Post Graduate,9858666,2350000,1
Basti,MAHADEWA,SC,RAVI KUMAR SONKAR,M,SC,40,BJP,82429,1,0,Graduate,21539099,823605,1
Barabanki,DARIYABAD,GEN,SATISH CHANDRA SHARMA,M,GEN,40,BJP,119173,1,0,Post Graduate,5788937,2500000,1
Bulandsahar,KHURJA,SC,VIJENDRA SINGH,M,SC,40,BJP,119493,1,0,Literate,55066161,0,1
Fatehpur,AYAH SHAH,GEN,VIKAS GUPTA,M,GEN,40,BJP,81203,1,0,Post Graduate,163585233,22792574,1
