DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities
Agra,AGRA CANTT,SC,GUTIYARI LAL DUWESH,M,SC,52,BSP,66853,2,0,8th Pass,"Rs 5,41,17,613","Rs 1,23,04,057"
Agra,AGRA CANTT,SC,MAMTA KAUDAN,F,SC,44,SP,64683,3,0,Graduate,"Rs 4,46,29,000","Rs 30,00,000"
Agra,AGRA CANTT,SC,SUBHASH CHAND,M,SC,57,IND,1236,4,0,8th Pass,"Rs 22,05,500",Rs 0
Agra,AGRA NORTH,GEN,ATUL GARG,M,GEN,47,SP,36739,3,0,Graduate Professional,"Rs 2,24,32,102",Rs 0
Agra,AGRA RURAL,SC,HEMLATA DIWAKAR,F,SC,36,BJP,129887,1,0,Graduate Professional,"Rs 2,47,18,058","Rs 1,70,000"
Agra,AGRA RURAL,SC,KALICHARAN SUMAN,M,SC,52,BSP,64591,2,0,Post Graduate,"Rs 1,78,50,449","Rs 2,29,263"
Agra,AGRA SOUTH,GEN,NAZIR AHMED,M,GEN,59,INC,39434,3,0,Graduate,"Rs 2,11,47,10,975",Rs 0
Agra,AGRA SOUTH,GEN,THOMSAN MASSEY,M,GEN,44,IND,979,4,0,8th Pass,"Rs 57,000",Rs 0
Varanasi,AJAGARA,SC,KAILASH NATH SONKAR,M,SC,54,SBSP,83778,1,0,12th Pass,"Rs 8,46,92,864","Rs 26,90,000"
Ambedkar Nagar,AKBARPUR,GEN,CHANDRA PRAKASH VERMA,M,GEN,45,BJP,57821,3,0,Post Graduate,"Rs 1,27,03,157",Rs 0
Ambedkar Nagar,AKBARPUR,GEN,RAM ACHAL RAJBHAR,M,GEN,62,BSP,72325,1,0,Graduate,"Rs 2,20,55,532",Rs 0
Ambedkar Nagar,AKBARPUR,GEN,RAM MURTI VERMA,M,GEN,52,SP,58312,2,0,12th Pass,"Rs 3,38,75,383","Rs 88,07,232"
Kanpur Dehat,AKBARPUR-RANIYA,GEN,DR. SATISH SHUKLA,M,GEN,40,BSP,45761,3,0,Doctorate,"Rs 2,51,71,385","Rs 4,80,000"
Kanpur Dehat,AKBARPUR-RANIYA,GEN,NEERAJ SINGH,M,GEN,36,SP,58701,2,0,Graduate,"Rs 1,41,59,613",Rs 0
Kanpur Dehat,AKBARPUR-RANIYA,GEN,PRATIBHA SHUKLA,F,GEN,56,BJP,87430,1,0,Post Graduate,"Rs 4,76,37,179","Rs 43,20,289"
Kanpur Dehat,AKBARPUR-RANIYA,GEN,VIJAY LAXMI,F,GEN,56,LD,2313,4,0,10th Pass,"Rs 78,93,000",Rs 0
Ambedkar Nagar,ALAPUR,SC,ANEETA,F,SC,31,BJP,72366,1,0,Post Graduate,"Rs 10,37,549","Rs 26,000"
Ambedkar Nagar,ALAPUR,SC,N-O-T-A,NULL,NULL,NULL,NOTA,1949,4,0,0,0,0
Ambedkar Nagar,ALAPUR,SC,SANGEETA,F,SC,40,SP,59853,2,0,8th Pass,"Rs 34,46,505","Rs 20,50,000"
Ambedkar Nagar,ALAPUR,SC,TRIBHUWAN DUTT,M,SC,52,BSP,58591,3,0,12th Pass,"Rs 3,43,50,575","Rs 1,02,41,305"
Etah,ALIGANJ,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1572,4,0,0,0,0
Etah,ALIGANJ,GEN,SATYAPAL SINGH RATHAUR,M,GEN,59,BJP,88695,1,0,10th Pass,"Rs 1,42,70,061","Rs 24,90,045"
Aligarh,ALIGARH,GEN,MOHD ARIF,M,GEN,42,BSP,25704,3,0,12th Pass,"Rs 1,66,47,050","Rs 72,33,003"
Aligarh,ALIGARH,GEN,RAJKUMAR,M,SC,32,SWAJANPA,3325,4,0,12th Pass,"Rs 4,03,000",Rs 0
Aligarh,ALIGARH,GEN,ZAFAR ALAM,M,GEN,72,SP,98312,2,0,Graduate,"Rs 40,94,69,000","Rs 3,06,000"
Allahabad,ALLAHABAD NORTH,GEN,AMIT SRIVASTAVA,M,GEN,37,BSP,23388,3,0,12th Pass,"Rs 9,12,132","Rs 2,88,000"
Allahabad,ALLAHABAD NORTH,GEN,ANUGRAH NARAYAN SINGH,M,GEN,66,INC,54166,2,0,Graduate Professional,"Rs 1,19,55,375",Rs 0
Allahabad,ALLAHABAD NORTH,GEN,BADAL CHATTERRJEE,M,GEN,62,IND,980,4,0,Post Graduate,"Rs 8,34,77,458","Rs 4,30,201"
Allahabad,ALLAHABAD SOUTH,GEN,MASHOOQ KHAN,M,GEN,56,BSP,12162,3,0,8th Pass,"Rs 10,76,27,968",Rs 0
Allahabad,ALLAHABAD WEST,GEN,RICHA SINGH,F,GEN,29,SP,60182,2,0,Post Graduate,"Rs 13,07,557",Rs 0
Allahabad,ALLAHABAD WEST,GEN,SIDHARTH NATH SINGH,M,GEN,53,BJP,85518,1,0,Graduate,"Rs 22,06,77,358","Rs 9,31,72,910"
Kasganj,AMANPUR,GEN,DEVENDRA PRATAP,M,GEN,55,BJP,85199,1,0,12th Pass,"Rs 1,43,89,000","Rs 4,00,000"
Kasganj,AMANPUR,GEN,RAHUL PANDAY,M,GEN,33,MD,16967,4,0,Post Graduate,"Rs 2,75,29,209","Rs 9,63,388"
Kasganj,AMANPUR,GEN,VIRENDRA SINGH SOLANKI,M,GEN,67,SP,43395,2,0,Post Graduate,"Rs 2,03,80,000",Rs 0
Amethi,AMETHI,GEN,AMEETA SINH,F,GEN,54,INC,20291,4,0,Doctorate,"Rs 36,77,31,633","Rs 32,07,818"
Amethi,AMETHI,GEN,GARIMA SINGH,F,GEN,61,BJP,64226,1,0,12th Pass,"Rs 24,21,37,763","Rs 13,278"
Amethi,AMETHI,GEN,GAYTRI PRASAD,M,GEN,49,SP,59161,2,0,Graduate,"Rs 10,02,51,101","Rs 2,31,29,881"
Amethi,AMETHI,GEN,RAM JI,M,GEN,31,BSP,30175,3,0,12th Pass,"Rs 2,69,76,553","Rs 9,36,094"
Farrukhabad,AMRITPUR,GEN,ARUN KUMAR MISHRA,M,GEN,49,BSP,16500,3,0,Graduate,"Rs 2,44,39,807","Rs 15,68,835"
Farrukhabad,AMRITPUR,GEN,NARENDRA SINGH YADAV,M,GEN,67,SP,52995,2,0,Post Graduate,"Rs 6,82,36,987",Rs 0
Farrukhabad,AMRITPUR,GEN,SHISHU PRATAP SINGH,M,GEN,31,IND,3252,4,0,Post Graduate,"Rs 1,10,29,461","Rs 29,30,148"
Amroha,AMROHA,GEN,DR. KUNWAR SAIN SAINI,M,GEN,53,BJP,45420,3,0,Graduate Professional,"Rs 6,17,31,200","Rs 26,99,711"
Amroha,AMROHA,GEN,SALEEM KHAN,M,GEN,49,RLD,14132,4,0,Graduate Professional,"Rs 5,79,96,910","Rs 6,83,865"
Bulandsahar,ANUPSHAHR,GEN,GAJENDRA SINGH,M,GEN,42,BSP,52117,2,0,Literate,"Rs 8,92,40,299",Rs 0
Bulandsahar,ANUPSHAHR,GEN,SANJAY,M,GEN,46,BJP,112431,1,0,Post Graduate,"Rs 2,51,14,226","Rs 61,04,523"
Bulandsahar,ANUPSHAHR,GEN,SYED HIMAYAT ALI,M,GEN,52,SP,48610,3,0,10th Pass,"Rs 8,65,98,107","Rs 8,52,956"
